rv,jumps,dts,vix,rets,c,vixann
3.1164e-05,0.0,['20/11/1990'],0.00013346828703703705,-0.012700084037278944,3.11643432324291e-05,20.09
7.3951e-05,0.0,['21/11/1990'],0.00014708601190476192,0.002280863915292363,7.39512254189123e-05,21.09
2.176e-05,0.0,['23/11/1990'],0.00014555568783068787,-0.0029470970263396666,2.1760309821261e-05,20.98
0.00014241,0.0,['26/11/1990'],0.00017130211640211643,0.004464787898491433,0.000142408631965261,22.76
6.0135e-05,0.0,['27/11/1990'],0.00017281071428571428,0.0050109620933781384,6.01349653402192e-05,22.86
2.989e-05,0.0,['28/11/1990'],0.00017432592592592593,-0.00047166104168175387,2.98899974831469e-05,22.96
6.2384e-05,0.0,['29/11/1990'],0.00018905029761904764,-0.004823692692498875,6.23840851235648e-05,23.91
0.00012898,0.0,['30/11/1990'],0.000162389417989418,0.018164097041922775,0.000128981516721362,22.16
5.5108e-05,0.0,['3/12/1990'],0.0001643002976190476,0.0058175680846611,5.51080902106628e-05,22.29
0.00016714,0.0,['4/12/1990'],0.00016048971560846565,0.00691831493372475,0.000167144226733546,22.03
4.4747e-05,0.0,['5/12/1990'],0.0001450011904761905,0.010879775747368581,4.47465252178608e-05,20.94
0.00018449,0.0,['6/12/1990'],0.00016920119047619052,-0.0025797067372426655,0.000184491931050358,22.62
5.3644e-05,0.0,['7/12/1990'],0.00016875267857142855,-0.00401937144754323,5.36439551661977e-05,22.59
3.788e-05,3.06818090934444e-05,['10/12/1990'],0.00018386785714285715,0.003472225710749057,7.19820055132893e-06,23.58
3.5472e-05,0.0,['11/12/1990'],0.0001865286044973545,-0.007477183753516147,3.54720710948092e-05,23.75
6.2765e-05,0.0,['12/12/1990'],0.00014974814814814816,0.011422081750441435,6.27645296145815e-05,21.28
1.4803e-05,0.0,['13/12/1990'],0.0001756952711640212,-0.0025775945616308576,1.48025689715753e-05,23.05
4.0423e-05,0.0,['14/12/1990'],0.00018810267857142862,-0.007681091166214669,4.04225929908193e-05,23.85
5.5703e-05,4.89959764807167e-05,['17/12/1990'],0.000204207175925926,-0.0024508314454943793,6.70710395974459e-06,24.85
4.1481e-05,2.95034826541533e-05,['18/12/1990'],0.00017661114417989417,0.012285428956636169,1.19771065840835e-05,23.11
1.82e-05,0.0,['19/12/1990'],0.00017615291005291001,0.0004543733512478534,1.81996108163066e-05,23.08
9.4055e-05,0.0,['20/12/1990'],0.00017691696428571426,-0.00024230676154413244,9.40553605630082e-05,23.13
